color,positive_associations,negative_associations,industries,archetypes,hex_examples
Red,"Energy, passion, excitement, urgency, love, power","Danger, aggression, anger, warning","Food, entertainment, automotive, retail","Hero, Rebel, Lover","#FF0000, #DC143C, #B22222, #8B0000"
Orange,"Enthusiasm, creativity, warmth, friendliness, confidence","Caution, cheapness, immaturity","Technology, food, entertainment, youth brands","Jester, Creator, Explorer","#FFA500, #FF8C00, #FF7F50, #FF6347"
Yellow,"Optimism, happiness, warmth, clarity, energy","Cowardice, caution, anxiety","Food, children, entertainment, automotive","Innocent, Jester","#FFD700, #FFFF00, #FFC107, #F0E68C"
Green,"Growth, nature, health, prosperity, harmony","Envy, inexperience, boredom","Health, finance, environment, organic","Caregiver, Explorer, Sage","#008000, #228B22, #32CD32, #90EE90"
Blue,"Trust, security, stability, professionalism, calm","Cold, unfriendly, conservative","Finance, technology, healthcare, corporate","Sage, Ruler, Caregiver","#0000FF, #1E90FF, #4169E1, #000080"
Purple,"Luxury, creativity, wisdom, royalty, mystery","Decadence, excess, moodiness","Luxury, beauty, spirituality, creative","Magician, Creator, Ruler","#800080, #9932CC, #8B008B, #4B0082"
Pink,"Femininity, romance, sweetness, playfulness, compassion","Weakness, immaturity, girlishness","Beauty, fashion, candy, women's products","Lover, Innocent, Caregiver","#FFC0CB, #FF69B4, #FF1493, #DB7093"
Black,"Sophistication, luxury, power, elegance, mystery","Death, evil, mourning, heaviness","Luxury, fashion, technology, automotive","Ruler, Rebel, Magician","#000000, #1C1C1C, #2F2F2F, #121212"
White,"Purity, cleanliness, simplicity, innocence, peace","Sterile, cold, empty, bland","Healthcare, technology, bridal, minimalist","Innocent, Sage","#FFFFFF, #FAFAFA, #F5F5F5, #FFFAFA"
Gray,"Neutral, professional, balanced, mature, sophisticated","Dull, lifeless, indecisive","Corporate, technology, automotive, luxury","Sage, Ruler, Regular Guy","#808080, #A9A9A9, #696969, #778899"
Brown,"Earthy, reliable, stable, warm, natural","Dirty, cheap, boring","Organic, outdoor, food, construction","Regular Guy, Explorer, Caregiver","#8B4513, #A0522D, #D2691E, #CD853F"
Gold,"Luxury, success, prestige, wisdom, wealth","Gaudy, pretentious, excessive","Luxury, finance, awards, premium","Ruler, Magician","#FFD700, #DAA520, #B8860B, #D4AF37"
Silver,"Modern, sleek, sophisticated, innovative, high-tech","Cold, detached, artificial","Technology, automotive, luxury, innovation","Magician, Ruler, Creator","#C0C0C0, #A9A9A9, #D3D3D3, #708090"