platform,asset_type,width_px,height_px,aspect_ratio,format,notes
Facebook,Profile Photo,180,180,1:1,PNG,Displays as circle
Facebook,Cover Photo,820,312,2.63:1,PNG/JPG,Mobile crops top/bottom
Facebook,Shared Image,1200,630,1.91:1,PNG/JPG,Link preview image
Facebook,Post Image Square,1200,1200,1:1,PNG/JPG,Square post
Facebook,Story,1080,1920,9:16,PNG/JPG/MP4,Full screen vertical
Facebook,Event Cover,1920,1005,1.91:1,PNG/JPG,Event header
Instagram,Profile Photo,320,320,1:1,PNG,Displays as circle
Instagram,Square Post,1080,1080,1:1,PNG/JPG,Standard feed post
Instagram,Portrait Post,1080,1350,4:5,PNG/JPG,Vertical feed post
Instagram,Landscape Post,1080,566,1.91:1,PNG/JPG,Horizontal feed post
Instagram,Story,1080,1920,9:16,PNG/JPG/MP4,Full screen vertical
Instagram,Reel,1080,1920,9:16,MP4,Full screen video
Instagram,Highlight Cover,110,110,1:1,PNG,Circle icon
LinkedIn,Profile Photo,400,400,1:1,PNG,Displays as circle
LinkedIn,Cover Photo,1128,191,5.91:1,PNG/JPG,Banner image
LinkedIn,Shared Image,1200,628,1.91:1,PNG/JPG,Link preview
LinkedIn,Post Image,1200,1200,1:1,PNG/JPG,Square post
LinkedIn,Company Logo,300,300,1:1,PNG,Square logo
LinkedIn,Company Cover,1128,191,5.91:1,PNG/JPG,Company page banner
Twitter,Profile Photo,400,400,1:1,PNG,Displays as circle
Twitter,Header Image,1500,500,3:1,PNG/JPG,Banner image
Twitter,Post Image,1200,675,16:9,PNG/JPG,In-stream image
Twitter,Card Image,1200,628,1.91:1,PNG/JPG,Link preview
YouTube,Profile Photo,800,800,1:1,PNG,Channel icon
YouTube,Banner,2560,1440,16:9,PNG/JPG,"Safe area: 1546x423 center"
YouTube,Thumbnail,1280,720,16:9,PNG/JPG,Video thumbnail
YouTube,Watermark,150,150,1:1,PNG,Branding watermark
TikTok,Profile Photo,200,200,1:1,PNG,Displays as circle
TikTok,Video,1080,1920,9:16,MP4,Full screen vertical
Pinterest,Profile Photo,165,165,1:1,PNG,Displays as circle
Pinterest,Pin Image,1000,1500,2:3,PNG/JPG,Standard pin
Pinterest,Board Cover,222,150,1.48:1,PNG/JPG,Board thumbnail